id,composite_ticker,company_name,forecast_e,forecast_s,forecast_g,esg_performance,alpha,m1_pct_return,m3_pct_return,m6_pct_return,y1_pct_return,price
3293,MGC,Vanguard Mega Cap ETF,52.239,51.6817,52.3453,51.4716,-0.564891,14.7782,-11.681,-5.81801,-2.06063,90.94
3294,MGK,Vanguard Mega Cap Growth ETF,51.9869,51.1422,52.016,51.1499,-0.712953,17.0868,-6.96517,3.78268,8.36675,127.08
3295,MGV,Vanguard Mega Cap Value ETF,52.3853,52.1484,52.5693,52.227,-0.403422,12.0785,-16.8038,-15.1181,-11.7529,66.01
3308,MMTM,SPDR S&P 1500 Momentum Tilt ETF,51.9399,51.5644,52.2352,52.0137,-0.509209,14.1377,-13.2033,-8.04405,-4.38367,111.5753
3310,MOAT,VanEck Vectors Wide Moat ETF,49.8367,49.675,50.4546,49.0397,-0.429222,14.7318,-11.7625,-9.26101,-3.81584,43.74
3340,NLR,VanEck Vectors Uranium+Nuclear Energy ETF,50.3746,50.4934,50.2764,49.2428,-0.0520953,10.0817,-17.7178,-15.2014,-16.1123,39.4924
3349,NULG,NuShares ESG Large-Cap Growth ETF,51.2196,50.7193,50.8859,49.9785,-0.371003,17.8998,-9.65697,0.422058,5.22865,35.25
3350,NULV,NuShares ESG Large-Cap Value ETF,52.6695,52.4915,53.1836,52.8866,-0.317361,11.3296,-19.0047,-18.1132,-13.2949,24.41
3351,NUMG,NuShares ESG Mid-Cap Growth ETF,47.9423,48.4967,48.7062,46.6627,0.04142,17.4338,-9.19075,-1.86819,-2.10681,29.255
3359,OEF,iShares S&P 100 ETF,52.7169,52.0455,52.8572,53.1489,-0.616861,14.6367,-10.763,-4.57444,-0.676611,118.62
3372,ONEV,SPDR Russell 1000 Low Volatility Focus ETF,49.7304,50.0122,50.5574,49.0205,-0.213305,13.768,-21.3485,-19.6213,-17.2137,62.2332
3373,ONEY,SPDR Russell 1000 Yield Focus ETF,49.8926,50.0259,50.8244,50.1577,-0.273399,15.6314,-28.2522,-28.7548,-30.5329,48.1707
3390,PAVE,Global X U.S. Infrastructure Development ETF,49.4159,49.6468,50.1562,48.6944,0.0412056,11.5675,-22.7062,-22.0269,-24.9473,12.31
3394,PBE,Invesco Dynamic Biotechnology & Genome ETF,46.7502,47.7173,48.5014,48.4269,0.114681,16.8005,-5.05486,-0.681259,-4.17653,46.4932
3402,PBUS,Invesco PureBeta MSCI USA ETF,51.1955,50.7829,51.4021,50.4097,-0.474315,14.6516,-13.5477,-7.87903,-3.41059,26.05
