"cca_id","company_name","sector","forecast_e","forecast_s","forecast_g","dynamic_model_ex_market_sector","m1_pct_return","m3_pct_return","m6_pct_return","y1_pct_return"
"97773","FirstEnergy Corp.","Utilities","46.5246","48.8463","46.1076","0.765131","-10.0156644279737","-16.9239805168375","-15.6114262981616","-0.434636438082692"
"97777","First Hawaiian, Inc.","Financials","45.6837","46.0977","49.9908","0.438124","-30.9812228532545","-42.1772525024835","-36.9468940747364","-34.0369791062442"
"97778","First Horizon National Corp. (Tennessee)","Financials","48.2832","49.7906","49.2986","-1.14209","-38.5100756284","-50.5035592149512","-48.9753589561179","-39.793656542909"
"97784","First Republic Bank (San Francisco, California)","Financials","47.3656","48.5717","49.651","-0.1955","-18.1863460239208","-29.8258814703523","-14.6166768274051","-17.5064081211253"
"97785","First Solar, Inc.","Information Technology","51.3243","51.3759","51.5188","-0.0795611","-21.214728357669","-35.5610944965822","-37.8382829163807","-31.7562211147307"
"97786","Fiserv, Inc.","Information Technology","48.9623","48.1969","48.0496","-1.22905","-13.1400954325048","-17.8500786493551","-8.30199901335199","7.60076886580743"
"97788","Fitbit, Inc.","Information Technology","44.0004","46.5832","46.201","-0.0916231","4.22534582955465","1.36986566247217","74.8031933350058","12.4998808251682"
"97790","Five Below, Inc.","Consumer Discretionary","46.0932","48.057","50.7295","0.166387","-27.4058926364248","-44.9554483637408","-44.1871869394048","-43.3561579845498"
"97793","FleetCor Technologies, Inc.","Information Technology","47.2678","46.1009","45.1719","1.16787","-29.8167930889897","-35.1661529555428","-34.9536151108477","-24.352129960379"
"97797","FLIR Systems, Inc.","Information Technology","45.684","47.807","45.3073","0.383363","-24.592370600668","-38.4951018597062","-38.9091728599145","-32.002370259729"
"97798","Floor & Decor Holdings, Inc.","Consumer Discretionary","45.492","47.0517","49.7896","-0.439931","-37.1400001811122","-36.8430740355159","-37.2628601032976","-22.1493211168225"
"97799","Flowers Foods, Inc.","Consumer Staples","48.2628","48.0577","49.4336","0.126171","-4.69122214767502","-4.80872776492498","-9.74733020057838","-0.439185944452647"
"97800","Flowserve Corp.","Industrials","54.871","51.6844","51.5709","0.564934","-40.0607726780012","-51.5982011455287","-48.2308055569174","-46.0166928442097"
"97802","Fluor Corp.","Industrials","56.7076","53.0588","56.3847","0.594606","-25.8584519837804","-63.0077713607806","-63.2720693901579","-80.5343327408392"
"97803","FMC Corp.","Materials","49.6477","52.996","48.7374","-0.10135","-11.7885143585251","-17.7270278077492","-5.9203287714524","8.39776808873784"
"97804","F.N.B. Corp. (Pennsylvania)","Financials","46.0833","47.2466","50.6274","-0.618825","-26.0989321765212","-41.2864794942785","-34.6908908166958","-27.3735132714801"
"97805","Foot Locker, Inc.","Consumer Discretionary","45.9956","47.2629","49.3181","0.838536","-39.1723954221754","-42.9013223689982","-47.9744111256847","-62.3879346592955"
"97806","Ford Motor Co.","Consumer Discretionary","51.2528","53.2376","48.3106","-0.344983","-30.6033751977485","-47.1851818663397","-45.4872121154019","-41.3650852013885"
"97810","Fortinet, Inc.","Information Technology","47.5075","48.914","48.2301","0.560038","-0.872057577701169","-5.23608686958435","31.8003700717434","20.4835170861414"
"97811","Fortive Corp.","Industrials","48.2432","48.143","45.3224","0.432909","-20.1995252017945","-27.6803593933086","-19.3430068109962","-33.9568206263953"
"97813","Fortune Brands Home & Security, Inc.","Industrials","51.5856","49.5266","48.1561","-0.494696","-29.9594834010783","-33.552748338622","-20.3564943277136","-7.69981852096683"
"97816","Fossil Group, Inc.","Consumer Discretionary","47.4481","46.7794","53.03","0.875714","-28.3223831598475","-58.2486959279412","-73.70100483042","-76.0204015816916"
"97821","Franklin Resources, Inc.","Financials","53.2085","49.2633","52.0069","-2.50879","-22.1336154514293","-34.7816610244691","-40.676013701365","-47.4780891552649"
